err_sentence,cor_sentence,error_point,error_type
요기서 우리와 이슬람 상인이 장악하구있던 부분이다.,여기서 우리와 이슬람 상인이 장악하고 있던 부분이다.,,
모의고사 하나씩 풀고 수능장 갓습니디,모의고사 하나씩 풀고 수능장 갔습니다.,,
내신따로 수능따로라기보다는 같이 준비한다는 생각으로 공부했어요,내신 따로 수능 따로라기보다는 같이 준비한다는 생각으로 공부했어요.,,
아니면 걍 개인의 자유는 침해하지안고 공동체의이익만 추구하는입장인가요?,아니면 그냥 개인의 자유는 침해하지 않고 공동체의 이익만 추구하는 입장인가요?,,
다른선생님 수업을 듣다가다시 왔습니디.,다른 선생님 수업을 듣다가 다시 왔습니다.,,
하여 어느거이 맞는지 궁금하여 질문을올립니다.,하여 어느 것이 맞는지 궁금하여 질문을 올립니다.,,
그리거믄재와 별개로 파장이다른 두 파동이간섭할수있나요?,그리고 문제와 별개로 파장이 다른 두 파동이 간섭할 수 있나요?,,
인물의 내면심리를 서술 할 때엔 직접 서술을 하지 못하구 간접적으으로 서술함을 알고 있습니다.,인물의 내면 심리를 서술할 때엔 직접 서술을 하지 못하고 간접적으로 서술함을 알고 있습니다.,,
많은 마스터들이 어려운문제에 시간을 많이 쓰지 않으려 해서 그런거 같타요..,많은 마스터들이 어려운 문제에 시간을 많이 쓰지 않으려 해서 그런 거 같아요.,,
처음으로 극어여상을 찍어봤습니디,처음으로 국어 영상을 찍어봤습니다.,,
어디가 툴린건지알기 쉽게 찬찬히 알려주시면 감사하겟읍니다!,어디가 틀린 건지 알기 쉽게 천천히 알려주시면 감사하겠습니다!,,
기쁜 정을 누르는곳이 금기를 어긴곳두아니다.,기쁜 정을 누르는 것이 금기를 어긴 것도 아니다.,,
수시랑 정시 둘 다 준비해야 하는 처지가 처량하네요,수시랑 정시 둘 다 준비해야 하는 처지가 처량하네요.,,
지역에서 내신따기 어려운걸로 유명한 학교라 쉽지만은 않았다고 봄니다,지역에서 내신 따기 어려운 걸로 유명한 학교라 쉽지만은 않았다고 봅니다.,,
"배운개념, 믄재풀이 스킬을 간략하게써주구다른쪽에는 막혔거나 특이해떤 믄재를선생님 풀이 혹은 특이한다른풀이를 써주새요!","배운 개념, 문제풀이 스킬을 간략하게 써주고 다른 쪽에는 막혔거나 특이했던 문제를 선생님 풀이 혹은 특이한 다른 풀이를 써주세요!",,
"기출은 근본적인 실력을올리는수단이고, 사설은 실력이올라간정두를 확인하는수단입니다.","기출은 근본적인 실력을 올리는 수단이고, 사설은 실력이 올라간 정도를 확인하는 수단입니다.",,
자존감떨어지는 중이었는데 만은 도움이 됩니다!,자존감 떨어지는 중이었는데 많은 도움이 됩니다!,,
아까 밑에 조그맣게 글씨 지나가던데이러셨다.,아까 밑에 조그맣게 글씨 지나가던데 이러셨다.,,
전 답은 나오는데 식이 넘 길러요.,저는 답은 나오는데 식이 너무 길러요.,,
또 중간중간 계속쉬어서 비효율적이더라구요,또 중간중간 계속 쉬어서 비효율적이더라고요.,,
진심이일본 국학의 키워드가될수잇다고...,진심이 일본 국학의 키워드가 될 수 있다고...,,
원하는점수가나오지않는모의고사들이 넘무 스트래스였다.,원하는 점수가 나오지 않는 모의고사들이 너무 스트레스였다.,,
내가 부족한 부분이 있는게 느껴지면 그 부분 위주로 봐주기도 햇답니다!,내가 부족한 부분이 있는 게 느껴지면 그 부분을 위주로 봐주기도 했답니다!,,
말슴하셨는대 세계최초인가요?,말씀하셨는데 세계 최초인가요?,,
이 부분도 다음 칼럼 쓰실 계획 잇으시면 넣어주세요,이 부분도 다음 칼럼 쓰실 계획 있으시면 넣어주세요.,,
체재의 근본적변혁의정확한뜻이무엇인가요?,체제의 근본적 변혁의 정확한 뜻이 무엇인가요?,,
"즉, 분모가 전체를 나타낼때, 비율이면남 여 평균이고, 수이면남 여의 합이라구보면되겠죠?","즉, 분모가 전체를 나타낼 때, 비율이면 남 여 평균이고, 수이면 남 여의 합이라고 보면 되겠죠?",,
시그마가 나올 떄 중간부분 싹 사라지게 만드는 풀이 유용하게 쓰이니 알아두시면 좋씁니다,시그마가 나올 때 중간 부분 싹 사라지게 만드는 풀이 유용하게 쓰이니 알아두시면 좋습니다.,,
이렇게 하면 안되나요?,이렇게 하면 안 되나요?,,
해가 갈수록 더 힘든거 아닌데 니가 참아내야돼,해가 갈수록 더 힘든 거 아닌데 니가 참아내야 돼.,,
지금은 내신쫌 하다가 겨울방학애하는걸 추천한다.,지금은 내신 좀 하다가 겨울방학에 하는 걸 추천한다.,,
정말열씸히 준비하셨으면좋겠습니다.,정말 열심히 준비하셨으면 좋겠습니다.,,
저라면 문학을 먼저 수강하는것을 추천합니다.,저라면 문학을 먼저 수강하는 것을 추천합니다.,,
병행해저가도 상관이없저요,병행해 나가도 상관이 없나요?,,
만은부뷴이 이해가 가니요,많은 부분이 이해가 가네요!,,
제가 승부욕이 강해서 지지않겠다는 마음으로 앉아서 공부햇던것 같아요,제가 승부욕이 강해서 지지 않겠다는 마음으로 앉아서 공부했던 것 같아요.,,
교집합이잇는데도 독자성이 성립하는이유가잇나요?,교집합이 있는데도 독자성이 성립하는 이유가 있나요?,,
문제에 제시되었을때 문재가 제시하는바가 달라지나요?,문제에 제시되었을 때 문제가 제시하는 바가 달라지나요?,,
옷이 앞에있는경우면 비자가 성립돼면 답이 달라지는거아닌가요?,옷이 앞에 있는 경우면 비자가 성립되면 답이 달라지는 거 아닌가요?,,
재가잇던 반은 옆자리사람이름도모를 정두로 아예 대화 금지시켰었어요.,제가 있던 반은 옆자리 사람 이름도 모를 정도로 아예 대화 금지시켰었어요.,,
낼부터 독서실로 옮기게되었니요!,내일부터 독서실로 옮기게 되었네요!,,
언재나 친절하게 답변해주셔서감사함니다!,언제나 친절하게 답변해 주셔서 감사합니다!,,
개념노트를 적을지 고민중이예요,개념노트를 적을지 고민 중이에요.,,
그럿다면시기는 언재인가요.,그렇다면 시기는 언제인가요.,,
그러면 질량은 갔고 크기가다른 물체의 경우 어떡케되는건가요?,그러면 질량은 같고 크기가 다른 물체의 경우 어떻게 되는 건가요?,,
강이를 죠금늦게 수강한 감이없지않어있따.,강의를 조금 늦게 수강한 감이 없지 않아 있다.,,
아무튼 삶을 어떻게 살아야하는지에 대해서 너므 깜깜한 상태에서 살아나가려고 하니 더 힘든거가타,아무튼 삶을 어떻게 살아야 하는지에 대해서 너무 깜깜한 상태에서 살아나가려고 하니 더 힘든 것 같아.,,
고등학생들은 한창 기말구사 준비로바쁠 시즌이네요!,고등학생들은 한창 기말고사 준비로 바쁠 시즌이네요!,,
너무 안맞는다면 바꾸시는 것도 추쳔드립니다!,너무 안 맞는다면 바꾸시는 것도 추천드립니다!,,
할수있겠다생각이들엇어요,할 수 있겠다 생각이 들었어요.,,
자문자답으로 볼스없다구 되어있니요,자문자답으로 볼 수 없다고 되어있네요.,,
이것두 다외워야하나요?,이것도 다 외워야 하나요?,,
우리는모두 카이스트에서의 삶이어떤지알구싶씁니다,우리는 모두 카이스트에서의 삶이 어떤지 알고 싶습니다.,,
힘과 운동 파트를 넘기고 열역학부터 들어도내용이해에 무리가없을지 궁금함니다.,힘과 운동 파트를 넘기고 열역학부터 들어도 내용 이해에 무리가 없을지 궁금합니다.,,
진짜 중학교땨는 주야장천 책만 일구살았어요.,진짜 중학교 때는 주야장천 책만 읽고 살았어요.,,
부와 명예는 역할수행에따른 보상이될수잇나요?,부와 명예는 역할 수행에 따른 보상이 될 수 있나요?,,
하지만 욕은 자제 해주시면 좋겠습니다,하지만 욕은 자제해 주시면 좋겠습니다.,,
뭔가 엄청 짧아보이긴 할 거에요,뭔가 엄청 짧아 보이긴 할 거예요.,,
실쩐연습 많이 해야겠죠?,실전 연습 많이 해야겠죠?,,
계속해서 풀다보면 다시 오를거에요!,계속해서 풀다 보면 다시 오를 거예요.,,
스크립트로보니 구민하게되니요,스크립트로 보니 고민하게 되네요!,,
선배님 충분히 잘하구 계셔서 돌아가실 필요없으실듯 합니다.,선배님 충분히 잘하고 계셔서 돌아가실 필요 없으실듯합니다.,,
의 대한답변은 책에서 당연히 그럿다구...,의 대한 답변은 책에서 당연히 그렇다고...,,
급격한사회의 변동으로나타난 새로운 규범으로인해기존의전통적 규범과 새로운 규범 사이에서 사람들이 혼란을 겪는다면 사회 규범의 통합을 강화하는거도 대책이될수있나요?,급격한 사회의 변동으로 나타난 새로운 규범으로 인해 기존의 전통적 규범과 새로운 규범 사이에서 사람들이 혼란을 겪는다면 사회 규범의 통합을 강화하는 것도 대책이 될 수 있나요?,,
"올해 게속 집담감염 터졌을때는 그래도 나름 동선이나, 이런게 잘 잡혔는데 지금은 겉잡을 수가 없ㅇ르거 가타요","올해 계속 집단감염 터졌을 때는 그래도 나름 동선이나, 이런 게 잘 잡혔는데 지금은 걷잡을 수가 없을 거 같아요.",,
공유돼는문화가 참 좋은거갇아요.,공유되는 문화가 참 좋은 것 같아요.,,
첨부한사진처럼 생각하면돼나요?,첨부한 사진처럼 생각하면 되나요?,,
근디 향스 가격 너무비싸요,근데 향수 가격 너무 비싸요.,,
"이공계로 입사하드라도 결극에는 관리, 경영의영역으로 업무가바뀌거든요.","이공계로 입사하더라도 결국에는 관리, 경영의 영역으로 업무가 바뀌거든요.",,
그리고 자꾸 보다 보면 익숙해저서 어느 정도 기억이 나더라구요.,그리고 자꾸 보다 보면 익숙해져서 어느 정도 기억이 나더라고요.,,
"하셔서 경재, 정치, 사회적으로 평등하지않을가능성을 견지하고있따구...","하셔서 경제, 정치, 사회적으로 평등하지 않을 가능성을 견지하고 있다고...",,
안하고는 구할수없는지 궁금함니다.,안 하고는 구할 수 없는지 궁금합니다.,,
근대 계획은 개많이 남음...,근데 계획은 아주 많이 남음...,,
제가 진짜 남의 눈치 많이 보는 편인데 최근에 생각이 바뀌었거든요,제가 진짜 남의 눈치를 많이 보는 편인데 최근에 생각이 바뀌었거든요.,,
제 목표가 컴퓨터공학이나 보안계열이어서 그 학과 기준으로 본다면 중앙대 밑으로 갔을 것 같네요,제 목표가 컴퓨터공학이나 보안 계열이어서 그 학과 기준으로 본다면 중앙대 밑으로 갔을 것 같네요.,,
내신이신거면 사실 기출만 어느정도 봐도 괜찮을 것 같은데요.,내신이신 거면 사실 기출만 어느 정도 봐도 괜찮을 것 같은데요.,,
화질이나빠 죄송함니다.,화질이 나빠 죄송합니다.,,
요기서 산소의 환원은 오직 전자의이동으로바꼐 설명이불가능한것 아닌가요?,여기서 산소의 환원은 오직 전자의 이동으로 밖에 설명이 불가능한 것 아닌가요?,,
탐구때는 정말 집중이 안된다.,탐구 때는 정말 집중이 안 된다.,,
무슨말이 맞는거인가요?,무슨 말이 맞는 것인가요?,,
정확한년도를 암기해야할까요.,정확한 연도를 암기해야 할까요.,,
관찰돼는시간과 서술하는시간이일치하지안는 서술 방식을사용한다.,관찰되는 시간과 서술하는 시간이 일치하지 않는 서술 방식을 사용한다.,,
식을통해서도 알구싶어요.,식을 통해서도 알고 싶어요.,,
어디에다 질문이랍시고올리기도 애매함.,어디에다 질문이랍시고 올리기도 애매함.,,
글의 구조가 보임으로써 글 이해가 잘 되는게 아니다.,글의 구조가 보임으로써 글의 이해가 잘 되는 게 아니다.,,
"저를 응원해주고 옆에 있어주는 사람들, 친구들 떄문에 더 열심히 하려고 하는 것 같아요","저를 응원해 주고 옆에 있어주는 사람들, 친구들 때문에 더 열심히 하려고 하는 것 같아요.",,
그래서 교도소 여상은 다신 안봐야겠다구 다짐했다!,그래서 교도소 영상은 다신 안 봐야겠다고 다짐했다!,,
저도 이제 할수있는게 이것박게 없는 존재가 되었습니다...,저도 이제 할 수 있는 게 이것 밖에 없는 존재가 되었습니다...,,
틀린문제랑 알쏭달쏭해떤 문제들이요.,틀린 문제랑 알쏭달쏭했던 문제들이요.,,
기출뮨제집은 현역 떄 한 번 풀었고 개념 강의 그 외는 문제집만 풀었습니다.,기출문제집은 현역 때 한 번 풀었고 개념 강의 그 외는 문제집만 풀었습니다.,,
이러케 이해한거이 맞나요?,이렇게 이해한 것이 맞나요?,,
공부를 해야하는 걸 알지만 하기 싫어서 안 하는 제가 너무 싫내요,공부를 해야 하는 걸 알지만 하기 싫어서 안 하는 제가 너무 싫네요.,,
마스터님 진짜 너무 사랑합니다,마스터님 진짜 너무 사랑합니다.,,
생각서술어로보면 거의 모든지뮨이생각 아닌가용,생각 서술어로 보면 거의 모든 지문이 생각 아닌가요?,,
작년강이는 드를수없는건가요?,작년 강의는 들을 수 없는 건가요?,,
수험생 입장에서 수학만 방석깔구 하지는 못하기 때문에 저는 주교재만 잘 돌리는걸 추천합니다!,수험생의 입장에서 수학만 방석 깔고 하지는 못하기 때문에 저는 주교재만 잘 돌리는 걸 추천합니다!,,
기출코드에서 얻어갈 만한게 딲히 많진 않는다.,기출 코드에서 얻어 갈 만한 게 딱히 많진 않다.,,
현장감을 의도햇는디 쪼금이나마 의도대로 됀곳같타서 기쁘니요,현장감을 의도했는데 조금이나마 의도대로 된 것 같아서 기쁘네요.,,
지위를 어떡케 구별하는건가요?,지위를 어떻게 구별하는 건가요?,,
올해스능 선택과목으로 확률과 통계를선택헐생각이다.,올해 수능 선택과목으로 확률과 통계를 선택할 생각이다.,,
그렇지만 발산하는경우는거의안나온다 감사함니다.,그렇지만 발산하는 경우는 거의 안 나온다 감사합니다.,,
아니지 오늘하루도 더열씨미살아봅시다,아니지 오늘 하루도 더 열심히 살아봅시다!,,
스업 열씨미 들었으면 전 충분하다고봄미다,수업 열심히 들었으면 전 충분하다고 봅니다!,,
사실 개념 강좌보다 내 수능 성적에 잴 도움되는 강의일지몰라요,사실 개념 강좌보다 내 수능 성적에 제일 도움 되는 강의 일지 몰라요.,,
"말하는것가튼데, 재가이해한것이 맞나요?","말하는 것 같은데, 제가 이해한 것이 맞나요?",,
감사가 기대를 건다는사실을 찾을스없다고생각함미다.,감사가 기대를 건다는 사실을 찾을 수 없다고 생각합니다.,,
진짜 떠먹여주구 준비하세요,진짜 떠먹여주고 준비하세요.,,
결론적으로 아래와 갔이졍리한다면 맞저요,결론적으로 아래와 같이 정리한다면 맞나요?,,
왜 이미가 연결된다구 하셨는지 이해가 안가요,왜 의미가 연결된다고 하셨는지 이해가 안 가요.,,
의정서와 협약의차이가 궁금함미다.,의정서와 협약의 차이가 궁금합니다.,,
그런 모습보면서영어를더 가르치구싶어졌어요,그런 모습 보면서 영어를 더 가르치고 싶어졌어요.,,
고런데왜 조세부담이줄어드나요.,그런데 왜 조세 부담이 줄어드나요.,,
근대 이모든 것을 영어로배우신다는거 아닙니까?,근데 이 모든 것을 영어로 배우신다는 거 아닙니까?,,
글고 어떻케 복습하는게 좋을까요?,그리고 어떻게 복습하는 게 좋을까요?,,
열심히 수능 공부해서 최저 맞추고 고대의대 뚫고싶다.,열심히 수능 공부해서 최저를 맞추고 고대 의대를 뚫고 싶다.,,
세부적인게 기억이 안나서 지문을 다시 보고 체크해야하더라구요,세부적인 게 기억이 안 나서 지문을 다시 보고 체크해야 하더라고요.,,
다 까먹어서 질문조차 못받고잇는 저보단 낫내요,다 까먹어서 질문조차 못 받고 있는 저보단 낫네요.,,
걔속 구민하던거 요렇게 명쾌하게써놨다,계속 고민하던걸 이렇게 명쾌하게 써놨다.,,
제가 밑 댓글에도 답변드리면서 말씀드렸던 부분인데 제가 시험봤던 학교는 화장실 개수도 많고 이용할 수 있는 칸수도 많아서 여유로웠습나다!,제가 밑 댓글에도 답변드리면서 말씀드렸던 부분인데 제가 시험 봤던 학교는 화장실 개수도 많고 이용할 수 있는 칸 수도 많아서 여유로웠습니다.,,
인싸가 되고싶은 아싸 입니다.,인싸가 되고 싶은 아싸입니다.,,
저두부르주아 페이스 공개해야하저,나도 부르주아 페이스 공개해야 하나...?,,
하셨는데이유를 모르겟어요.,하셨는데 이유를 모르겠어요.,,
난 운동의 법칙보단 일과 에너지가 더... 재밌드라...,난 운동의 법칙보단 일과 에너지가 더 재밌더라...,,
선택과목으로 확률과 통계를선택햇는데 조언감사함니다,선택과목으로 확률과 통계를 선택했는데 조언 감사합니다!,,
맥락으로만 상황을일거 뜬금업씨 따뜻함을 묻는게 이질적이라고 느꼈습니다.,맥락으로만 상황을 읽어 뜬금없이 따뜻함을 묻는 게 이질적이라고 느꼈습니다.,,
마찰을 받으면 속두가 줄어들고그러면 최종적으로 이동한거리 즉 높이 변화도 줄어들게돼지앉나요?,마찰을 받으면 속도가 줄어들고 그러면 최종적으로 이동한 거리 즉 높이 변화도 줄어들게 되지 않나요?,,
이렇게공부해서 성적이오를지고민이라 글써봄니다.,이렇게 공부해서 성적이 오를지 고민이라 글 써봅니다.,,
강이에없는내용이라면 죄송함미다.,강의에 없는 내용이라면 죄송합니다.,,
이번에는 꼭 실수없이 모두 조은 결과를 얻길 바라요,이번에는 꼭 실수 없이 모두 좋은 결과를 얻길 바라요.,,
이재 행동으로하시면됩니다,이제 행동으로 하시면 됩니다.,,
생략되는경우와 이유가 궁금함니다.,생략되는 경우와 이유가 궁금합니다.,,
아무 처벌도 안 받는다,아무 처벌도 안 받는다.,,
재가 가고싶은학교와 학과에가셨니요,제가 가고 싶은 학교와 학과에 가셨네요.,,
진짜 글자 쓰신것처럼 너므 딱딱맞아서 입을 못 다물겠어요,진짜 글자 쓰신 것처럼 너무 딱딱 맞아서 입을 못 다물겠어요.,,
빠른 속두로풀어나가구 강이를들으라는건가여?,빠른 속도로 풀어나가고 강의를 들으라는 건가요?,,
반 표지판이랑 교무실 표지판이랑 바꿧다,반 표지판이랑 교무실 표지판이랑 바꿨다.,,
평소에 수능공부를 내신공부처럼 해서 시간이 됐던 듯 해요,평소에 수능 공부를 내신 공부처럼 해서 시간이 됐던 듯해요.,,
"법을어기는거, 인신매매에관련 설명이문항에잇어요.","법을 어기는 것, 인신매매에 관련 설명이 문항에 있어요.",,
마찰이잇을때를 말씀하신건가여?,마찰이 있을 때를 말씀하신 건가요?,,
관련 모의고사 많이 풀어보시거나 기출 중 틀리는 부분 오답해주시면 좋을 것 가타요!,관련 모의고사 많이 풀어보시거나 기출 중 틀리는 부분 오답해 주시면 좋을 것 같아요!,,
고엽재 옆에공통은 무슨의미인가요?,고엽제 옆에 공통은 무슨 의미인가요?,,
"문학지문분석할때 트린지문만하나요, 전체 지문 다하나요?","문학 지문 분석할 때 틀린 지문만 하나요, 전체 지문 다하나요?",,
이 닦구들어가 자면 기절하듯이잘수있다.,이 닦고 들어가 자면 기절하듯이 잘 수 있다.,,
모의평가 끝나구 오답이 중요한 이유 중 하나가 그거거든요,모의평가가 끝나고 오답이 중요한 이유 중 하나가 그거거든요.,,
하면이집트와 인도 두나라모두 될순 없는건가여?,하면 이집트와 인도 두 나라 모두 될 수는 없는 건가요?,,
마스터님도 이대 조은 대학이라는 거 잘 아시잖아요,마스터님도 이대 좋은 대학이라는 거 잘 아시잖아요.,,
단어 모르는건 맥락 파악해서 유추를 했어요,단어 모르는 건 맥락 파악해서 유추를 했어요.,,
"이혼, 이천만원 이억도 아니구 이천으으로 왜 월북을 해","이혼, 이천만 원 이억도 아니고 이천으로 왜 월북을 해.",,
외 강이에서는 통합이라고 적나요?,왜 강의에서는 통합이라고 적나요?,,
그래도 진학하지 않은 것에 대한 후회는 개인적으로 없어요,그래도 진학하지 않은 것에 대한 후회는 개인적으로 없어요.,,
친구관계로인한 스트레스는 어떻게해결하셧저요,친구관계로 인한 스트레스는 어떻게 해결하셨나요?,,
물론 부족한거 같다면 미리 시작해도 좋을거 같아요!,물론 부족한 거 같다면 미리 시작해도 좋을 거 같아요!,,
근디저거 언재 올까요,근데 저거 언제 올까요?,,
그리구이풀이가 정석적인풀이인지 궁금합니다.,그리고 이 풀이가 정석적인 풀이인지 궁금합니다.,,
이번 겨울방학떄 뭐를 할 수잇ㅅ을까요?,이번 겨울방학 때 뭐를 할 수 있을까요?,,
여러개의 데이터들이잇다구이해헷습니다.,여러 개의 데이터들이 있다고 이해했습니다.,,
교재에 딲히 잇는내용은 아니구갑자기생각난것인데 절대적 빈곤도 소득 수준이높은 국가에서나타날수있나요.,교재에 딱히 있는 내용은 아니고 갑자기 생각난 것인데 절대적 빈곤도 소득 수준이 높은 국가에서 나타날 수 있나요.,,
하셧는데 당시정확히 중국의어느 국가와 교류했는지 궁금함니다!,하셨는데 당시 정확히 중국의 어느 국가와 교류했는지 궁금합니다!,,
기지국사이를 이동할때 일시적으로 통화가 끊어지기땜에 기지국을 중첩되게설치하는지를 물어보고있는것갔습니다.,기지국 사이를 이동할 때 일시적으로 통화가 끊어지기 때문에 기지국을 중첩되게 설치하는지를 물어보고 있는 것 같습니다.,,
확실히 시험 끝나고 가장 풀어지고 맘잡기가 어려웠던 것 같타요,확실히 시험 끝나고 가장 풀어지고 맘 잡기가 어려웠던 것 같아요.,,
밑줄은 내면 심리를 포현한거라고 해서 알겠는데요,밑줄은 내면 심리를 표현한 거라고 해서 알겠는데요.,,
믄학의 작품을읽었던거갗아요.,문학의 작품을 읽었던 것 같아요.,,
그럼 여기서 이발소소년이 천변의 소식을 사람들에게 전한다구 하면 적절한건가요?,그럼 여기서 이발소 소년이 천변의 소식을 사람들에게 전한다고 하면 적절한 건가요?,,
"서유럽은정치와 종교가 분리되어있는 반면, 동유럽은정치와 종교가 일치햇다고...","서유럽은 정치와 종교가 분리되어 있는 반면, 동유럽은 정치와 종교가 일치했다고...",,
칠판에보면 다음과 같은 판서가잇습니다.,칠판에 보면 다음과 같은 판서가 있습니다.,,
자기와의 약속으로 멘날 인증 올리는거지요.,자기와의 약속으로 맨날 인증 올리는거지요.,,
갠적으로 글구 답답한공기가아닌 밖 공기 쐬는거도조아요,개인적으로 그리고 답답한 공기가 아닌 밖 공기 쐬는 것도 좋아요.,,
타자로 치기가 너무 어려워서 잠깐 게시물로 올렸다가 내릴게요,타자로 치기가 너무 어려워서 잠깐 게시물로 올렸다가 내릴게요.,,
이파트만 공부하면될곳갗아요,이 파트만 공부하면 될 것 같아요!,,
이에 학습중 혼란을 느껴 질믄합니다,이에 학습 중 혼란을 느껴 질문합니다.,,
이거보고 무조곤 경희대가기로 결심했습저다,이거보고 무조건 경희대 가기로 결심했습니다.,,
그림처럼 편익과 비용이주어졌을때 명시적 비용과 암묵적 비용은 어떡해 계산하나요?,그림처럼 편익과 비용이 주어졌을 때 명시적 비용과 암묵적 비용은 어떻게 계산하나요?,,
걍 인터넷에서 근데 얘기드어보니가 뭔가 그럴듯해,"그냥 인터넷에서, 근데 얘기 들어보니까 뭔가 그럴듯해.",,
이지역의이전의 모습은 어떠했는지 긍금해요.,이 지역의 이전의 모습은 어떠했는지 궁금해요.,,
석사입시요강보면 확인가능함니다.,석사 입시요강 보면 확인 가능합니다.,,
말안할려다 너무 심해지니깐 한소리했어,말 안 하려다 너무 심해지니깐 한 소리 했어.,,
실상 규명이 목적인것은 아니지안나요?,실상 규명이 목적인 것은 아니지 않나요?,,
제 머릿속에 있는걸 손으으로 옮겨 그린거기 떄문에요,제 머릿속에 있는 걸 손으로 옮겨 그린 거기 때문에요.,,
재밌게 바주셔서 감사해요,재밌게 봐주셔서 감사해요.,,
갈수록 국어 과목의 특성이 사람마다 느끼는 체감 난이도가 다른 그런 경항이 커지는 거 가타요.,갈수록 국어 과목의 특성이 사람마다 느끼는 체감 난이도가 다른 그런 경향이 커지는 것 같아요.,,
평소에 선생님께서 푸셨던 방법인데 머가 틀렸는지모르겟어여.,평소에 선생님께서 푸셨던 방법인데 뭐가 틀렸는지 모르겠어요.,,
둘다조은 책이라구생각함니다.,둘 다 좋은 책이라고 생각합니다.,,
그래서 군대를가서 가산점을 받았어.,그래서 군대를 가서 가산점을 받았어.,,
청출어람이라구 저두 선생님을 뛰어넘어보겠습니다!!,청출어람이라고 저도 선생님을 뛰어넘어보겠습니다!!,,
선생님덕분에만은 도움을 받구잇는학생임니다,선생님 덕분에 많은 도움을 받고 있는 학생입니다.,,
의미를 물어보신거라면 지문 위쪽에 예시 보시면 될겁니다,의미를 물어보신 거라면 지문 위쪽에 예시 보시면 될 겁니다.,,
후쿠시마 운전 사고난 지역에 사람들 다시 보냈는데 애들이 갑자기 이유없이 죽구 그런데.,후쿠시마 원전 사고 난 지역에 사람들 다시 보냈는데 애들이 갑자기 이유 없이 죽고 그런대.,,
먼가 공부할때 세계여행 하는 기분이라 선택해씁니다,먼가 공부할 때 세계여행하는 기분이라 선택했습니다.,,
그러면 진짜 대면 취소하지않을가,그러면 진짜 대면 취소하지 않을까?,,
이런 대강이과목 순서는 배치해서공부헷습니다.,이런 대강의 과목 순서는 배치해서 공부했습니다.,,
자기장 세기의 변화가 일정하면 외 전압이일정한건가요?,자기장 세기의 변화가 일정하면 왜 전압이 일정한 건가요?,,
반복돼는부븐인데 헷갈려서질믄합니다.,반복되는 부분인데 헷갈려서 질문합니다.,,
하셨지만 게속 고민이됩니다.,하셨지만 계속 고민이 됩니다.,,
현역시절에 해봤눈데 그데로나왔어요.,현역 시절에 해봤는데 그대로 나왔어요.,,
운래도스능한번더 볼 각오는 하고있엇지만 생각보다너므힘드니요,원래도 수능 한 번 더 볼 각오는 하고 있었지만 생각보다 너무 힘드네요.,,
여대도 여대 나름의 재미랑 장점들이 있는것 같더라구요!,여대도 여대 나름의 재미랑 장점들이 있는 것 같더라고요!,,
교양과목에 광둥어도 있었으면 좋겠네욥.,교양과목에 광둥어도 있었으면 좋겠네요.,,
일반화됀 자아라는거이정확히 먼지모르겟어요.,일반화된 자아라는 것이 정확히 뭔지 모르겠어요.,,
가튼 장소를 찾는기준이어떡게되는지 잘모르겟습니다.,같은 장소를 찾는 기준이 어떻게 되는지 잘 모르겠습니다.,,
근거로 돈을안내도 됀다구 주장할것이라고하셨습니다.,근거로 돈을 안 내도 된다고 주장할 것이라고 하셨습니다.,,
이 교제는 어떡게 구성되어 잇나요.,이 교재는 어떻게 구성되어 잇나요.,,
"어떤연관성이, 왤케 잇는지모르겟습니다.","어떤 연관성이, 왜 있는지 모르겠습니다.",,
조선 중립화론이라는게 나오는데요,조선 중립화론이라는 게 나오는데요.,,
노래 듣고 남은시간 열공해볼게요!,노래 듣고 남은 시간에 열공해 볼게요!,,
아노미 이론에나오는 규범과수단관련해서하는 질문임니다.,아노미 이론에 나오는 규범과 수단 관련해서 하는 질문입니다.,,
"되어있늕데, 반대상황 아닌가요?","되어 있는데, 반대 상황 아닌가요?",,
설명에 내용자체가넘무 빠르구요.,설명에 내용 자체가 너무 빠르고요.,,
나 언어와 매체작넌 수능은 다 맞았는디 근대 화법 작문은 반타작임,나 언어와 매체 작년 수능은 다 맞았는데 근대 화법 작문은 반타작임.,,
정말 유익한 국어 공부법인거 같타요,정말 유익한 국어 공부법인 거 같아요.,,
수열 까먹어서 의식의 흐름 대로 풀어봤는데요,수열을 까먹어서 의식의 흐름 대로 풀어봤는데요.,,
특히 개도국들은 환경 친화 발전에 대한 한국의 경험을 듣구 싶어햇다.,특히 개도국들은 환경 친화 발전에 대한 한국의 경험을 듣고 싶어했다.,,
그리고 과학고 목표인데요,그리고 과학고 목표인데요.,,
그사고의흐름이 궁금함니다.,그 사고의 흐름이 궁금합니다.,,
수능끋나고 재질문하면 답변 부탁드립니다.,수능 끝나고 재질문 하면 답변 부탁드립니다.,,
약간 님한테 말한거같이 보이네...,약간 님한테 말한 거 같이 보이네.,,
요약하지말고 그 문단에서 말하고자 했던바가 뭔지 서술범주만 체크하고 너머가세요.,요약하지 말고 그 문단에서 말하고자 했던 바가 뭔지 서술 범주만 체크하고 넘어 가세요.,,
외 융합인지 잘모르겟어용.,왜 융합인지 잘 모르겠어요.,,
잇다면 어떤 영향이있고 없다면 맨틀 대류의 원인은 무엇인가요?,있다면 어떤 영향이 있고 없다면 맨틀 대류의 원인은 무엇인가요?,,
